0,1,2,3,4,5,6
218.0,332.0,332.0,14.0,217.0,94.0,84.0
332.0,332.0,14.0,217.0,94.0,84.0,332.0
332.0,14.0,217.0,94.0,84.0,332.0,245.0
14.0,217.0,94.0,84.0,332.0,245.0,505.0
217.0,94.0,84.0,332.0,245.0,505.0,311.0
94.0,84.0,332.0,245.0,505.0,311.0,15.0
84.0,332.0,245.0,505.0,311.0,15.0,332.0
332.0,245.0,505.0,311.0,15.0,332.0,10.0
245.0,505.0,311.0,15.0,332.0,10.0,375.0
505.0,311.0,15.0,332.0,10.0,375.0,522.0
311.0,15.0,332.0,10.0,375.0,522.0,3.0
15.0,332.0,10.0,375.0,522.0,3.0,466.0
332.0,10.0,375.0,522.0,3.0,466.0,332.0
10.0,375.0,522.0,3.0,466.0,332.0,492.0
375.0,522.0,3.0,466.0,332.0,492.0,442.0
522.0,3.0,466.0,332.0,492.0,442.0,287.0
3.0,466.0,332.0,492.0,442.0,287.0,496.0
466.0,332.0,492.0,442.0,287.0,496.0,332.0
332.0,492.0,442.0,287.0,496.0,332.0,332.0
492.0,442.0,287.0,496.0,332.0,332.0,523.0
442.0,287.0,496.0,332.0,332.0,523.0,447.0
287.0,496.0,332.0,332.0,523.0,447.0,36.0
496.0,332.0,332.0,523.0,447.0,36.0,444.0
332.0,332.0,523.0,447.0,36.0,444.0,332.0
332.0,523.0,447.0,36.0,444.0,332.0,363.0
523.0,447.0,36.0,444.0,332.0,363.0,60.0
447.0,36.0,444.0,332.0,363.0,60.0,520.0
36.0,444.0,332.0,363.0,60.0,520.0,269.0
444.0,332.0,363.0,60.0,520.0,269.0,332.0
332.0,363.0,60.0,520.0,269.0,332.0,138.0
363.0,60.0,520.0,269.0,332.0,138.0,322.0
60.0,520.0,269.0,332.0,138.0,322.0,461.0
520.0,269.0,332.0,138.0,322.0,461.0,247.0
269.0,332.0,138.0,322.0,461.0,247.0,332.0
332.0,138.0,322.0,461.0,247.0,332.0,16.0
138.0,322.0,461.0,247.0,332.0,16.0,169.0
322.0,461.0,247.0,332.0,16.0,169.0,298.0
461.0,247.0,332.0,16.0,169.0,298.0,435.0
247.0,332.0,16.0,169.0,298.0,435.0,332.0
332.0,16.0,169.0,298.0,435.0,332.0,332.0
16.0,169.0,298.0,435.0,332.0,332.0,210.0
169.0,298.0,435.0,332.0,332.0,210.0,134.0
298.0,435.0,332.0,332.0,210.0,134.0,310.0
435.0,332.0,332.0,210.0,134.0,310.0,257.0
332.0,332.0,210.0,134.0,310.0,257.0,332.0
332.0,210.0,134.0,310.0,257.0,332.0,459.0
210.0,134.0,310.0,257.0,332.0,459.0,183.0
134.0,310.0,257.0,332.0,459.0,183.0,34.0
310.0,257.0,332.0,459.0,183.0,34.0,449.0
257.0,332.0,459.0,183.0,34.0,449.0,332.0
332.0,459.0,183.0,34.0,449.0,332.0,191.0
459.0,183.0,34.0,449.0,332.0,191.0,261.0
183.0,34.0,449.0,332.0,191.0,261.0,202.0
34.0,449.0,332.0,191.0,261.0,202.0,54.0
449.0,332.0,191.0,261.0,202.0,54.0,332.0
332.0,191.0,261.0,202.0,54.0,332.0,2.0
191.0,261.0,202.0,54.0,332.0,2.0,428.0
261.0,202.0,54.0,332.0,2.0,428.0,460.0
202.0,54.0,332.0,2.0,428.0,460.0,538.0
54.0,332.0,2.0,428.0,460.0,538.0,332.0
332.0,2.0,428.0,460.0,538.0,332.0,332.0
2.0,428.0,460.0,538.0,332.0,332.0,345.0
428.0,460.0,538.0,332.0,332.0,345.0,78.0
460.0,538.0,332.0,332.0,345.0,78.0,471.0
538.0,332.0,332.0,345.0,78.0,471.0,50.0
332.0,332.0,345.0,78.0,471.0,50.0,332.0
332.0,345.0,78.0,471.0,50.0,332.0,74.0
345.0,78.0,471.0,50.0,332.0,74.0,78.0
78.0,471.0,50.0,332.0,74.0,78.0,471.0
471.0,50.0,332.0,74.0,78.0,471.0,306.0
50.0,332.0,74.0,78.0,471.0,306.0,332.0
332.0,74.0,78.0,471.0,306.0,332.0,89.0
74.0,78.0,471.0,306.0,332.0,89.0,487.0
78.0,471.0,306.0,332.0,89.0,487.0,346.0
471.0,306.0,332.0,89.0,487.0,346.0,404.0
306.0,332.0,89.0,487.0,346.0,404.0,332.0
332.0,89.0,487.0,346.0,404.0,332.0,2.0
89.0,487.0,346.0,404.0,332.0,2.0,522.0
487.0,346.0,404.0,332.0,2.0,522.0,510.0
346.0,404.0,332.0,2.0,522.0,510.0,366.0
404.0,332.0,2.0,522.0,510.0,366.0,332.0
332.0,2.0,522.0,510.0,366.0,332.0,332.0
2.0,522.0,510.0,366.0,332.0,332.0,486.0
522.0,510.0,366.0,332.0,332.0,486.0,73.0
510.0,366.0,332.0,332.0,486.0,73.0,156.0
366.0,332.0,332.0,486.0,73.0,156.0,453.0
332.0,332.0,486.0,73.0,156.0,453.0,332.0
332.0,486.0,73.0,156.0,453.0,332.0,480.0
486.0,73.0,156.0,453.0,332.0,480.0,0.0
73.0,156.0,453.0,332.0,480.0,0.0,232.0
156.0,453.0,332.0,480.0,0.0,232.0,251.0
453.0,332.0,480.0,0.0,232.0,251.0,315.0
332.0,480.0,0.0,232.0,251.0,315.0,332.0
480.0,0.0,232.0,251.0,315.0,332.0,59.0
0.0,232.0,251.0,315.0,332.0,59.0,395.0
232.0,251.0,315.0,332.0,59.0,395.0,460.0
251.0,315.0,332.0,59.0,395.0,460.0,152.0
315.0,332.0,59.0,395.0,460.0,152.0,332.0
332.0,59.0,395.0,460.0,152.0,332.0,353.0
59.0,395.0,460.0,152.0,332.0,353.0,239.0
395.0,460.0,152.0,332.0,353.0,239.0,520.0
460.0,152.0,332.0,353.0,239.0,520.0,56.0
152.0,332.0,353.0,239.0,520.0,56.0,332.0
332.0,353.0,239.0,520.0,56.0,332.0,332.0
353.0,239.0,520.0,56.0,332.0,332.0,378.0
239.0,520.0,56.0,332.0,332.0,378.0,354.0
520.0,56.0,332.0,332.0,378.0,354.0,2.0
56.0,332.0,332.0,378.0,354.0,2.0,8.0
332.0,332.0,378.0,354.0,2.0,8.0,332.0
332.0,378.0,354.0,2.0,8.0,332.0,94.0
378.0,354.0,2.0,8.0,332.0,94.0,446.0
354.0,2.0,8.0,332.0,94.0,446.0,361.0
2.0,8.0,332.0,94.0,446.0,361.0,371.0
8.0,332.0,94.0,446.0,361.0,371.0,332.0
332.0,94.0,446.0,361.0,371.0,332.0,188.0
94.0,446.0,361.0,371.0,332.0,188.0,482.0
446.0,361.0,371.0,332.0,188.0,482.0,332.0
361.0,371.0,332.0,188.0,482.0,332.0,2.0
371.0,332.0,188.0,482.0,332.0,2.0,175.0
332.0,188.0,482.0,332.0,2.0,175.0,115.0
188.0,482.0,332.0,2.0,175.0,115.0,274.0
482.0,332.0,2.0,175.0,115.0,274.0,332.0
332.0,2.0,175.0,115.0,274.0,332.0,332.0
2.0,175.0,115.0,274.0,332.0,332.0,210.0
175.0,115.0,274.0,332.0,332.0,210.0,22.0
115.0,274.0,332.0,332.0,210.0,22.0,210.0
274.0,332.0,332.0,210.0,22.0,210.0,350.0
332.0,332.0,210.0,22.0,210.0,350.0,241.0
332.0,210.0,22.0,210.0,350.0,241.0,332.0
210.0,22.0,210.0,350.0,241.0,332.0,263.0
22.0,210.0,350.0,241.0,332.0,263.0,437.0
210.0,350.0,241.0,332.0,263.0,437.0,451.0
350.0,241.0,332.0,263.0,437.0,451.0,332.0
241.0,332.0,263.0,437.0,451.0,332.0,504.0
332.0,263.0,437.0,451.0,332.0,504.0,336.0
263.0,437.0,451.0,332.0,504.0,336.0,425.0
437.0,451.0,332.0,504.0,336.0,425.0,237.0
451.0,332.0,504.0,336.0,425.0,237.0,332.0
332.0,504.0,336.0,425.0,237.0,332.0,194.0
504.0,336.0,425.0,237.0,332.0,194.0,412.0
336.0,425.0,237.0,332.0,194.0,412.0,105.0
425.0,237.0,332.0,194.0,412.0,105.0,100.0
237.0,332.0,194.0,412.0,105.0,100.0,499.0
332.0,194.0,412.0,105.0,100.0,499.0,332.0
194.0,412.0,105.0,100.0,499.0,332.0,332.0
412.0,105.0,100.0,499.0,332.0,332.0,40.0
105.0,100.0,499.0,332.0,332.0,40.0,133.0
100.0,499.0,332.0,332.0,40.0,133.0,426.0
499.0,332.0,332.0,40.0,133.0,426.0,505.0
332.0,332.0,40.0,133.0,426.0,505.0,332.0
332.0,40.0,133.0,426.0,505.0,332.0,359.0
40.0,133.0,426.0,505.0,332.0,359.0,299.0
133.0,426.0,505.0,332.0,359.0,299.0,39.0
426.0,505.0,332.0,359.0,299.0,39.0,248.0
505.0,332.0,359.0,299.0,39.0,248.0,332.0
332.0,359.0,299.0,39.0,248.0,332.0,191.0
359.0,299.0,39.0,248.0,332.0,191.0,69.0
299.0,39.0,248.0,332.0,191.0,69.0,377.0
39.0,248.0,332.0,191.0,69.0,377.0,129.0
248.0,332.0,191.0,69.0,377.0,129.0,332.0
332.0,191.0,69.0,377.0,129.0,332.0,194.0
191.0,69.0,377.0,129.0,332.0,194.0,480.0
69.0,377.0,129.0,332.0,194.0,480.0,177.0
377.0,129.0,332.0,194.0,480.0,177.0,25.0
129.0,332.0,194.0,480.0,177.0,25.0,95.0
332.0,194.0,480.0,177.0,25.0,95.0,332.0
194.0,480.0,177.0,25.0,95.0,332.0,332.0
480.0,177.0,25.0,95.0,332.0,332.0,21.0
177.0,25.0,95.0,332.0,332.0,21.0,27.0
25.0,95.0,332.0,332.0,21.0,27.0,387.0
95.0,332.0,332.0,21.0,27.0,387.0,128.0
332.0,332.0,21.0,27.0,387.0,128.0,332.0
332.0,21.0,27.0,387.0,128.0,332.0,27.0
21.0,27.0,387.0,128.0,332.0,27.0,100.0
27.0,387.0,128.0,332.0,27.0,100.0,34.0
387.0,128.0,332.0,27.0,100.0,34.0,94.0
128.0,332.0,27.0,100.0,34.0,94.0,181.0
332.0,27.0,100.0,34.0,94.0,181.0,332.0
27.0,100.0,34.0,94.0,181.0,332.0,474.0
100.0,34.0,94.0,181.0,332.0,474.0,58.0
34.0,94.0,181.0,332.0,474.0,58.0,170.0
94.0,181.0,332.0,474.0,58.0,170.0,237.0
181.0,332.0,474.0,58.0,170.0,237.0,332.0
332.0,474.0,58.0,170.0,237.0,332.0,18.0
474.0,58.0,170.0,237.0,332.0,18.0,110.0
58.0,170.0,237.0,332.0,18.0,110.0,94.0
170.0,237.0,332.0,18.0,110.0,94.0,360.0
237.0,332.0,18.0,110.0,94.0,360.0,332.0
332.0,18.0,110.0,94.0,360.0,332.0,332.0
18.0,110.0,94.0,360.0,332.0,332.0,221.0
110.0,94.0,360.0,332.0,332.0,221.0,277.0
94.0,360.0,332.0,332.0,221.0,277.0,221.0
360.0,332.0,332.0,221.0,277.0,221.0,281.0
