0,1,2,3,4,5,6
1245.0,942.0,15.0,1442.0,942.0,15.0,987.0
942.0,15.0,1442.0,942.0,15.0,987.0,205.0
15.0,1442.0,942.0,15.0,987.0,205.0,942.0
1442.0,942.0,15.0,987.0,205.0,942.0,942.0
942.0,15.0,987.0,205.0,942.0,942.0,195.0
15.0,987.0,205.0,942.0,942.0,195.0,437.0
987.0,205.0,942.0,942.0,195.0,437.0,943.0
205.0,942.0,942.0,195.0,437.0,943.0,942.0
942.0,942.0,195.0,437.0,943.0,942.0,671.0
942.0,195.0,437.0,943.0,942.0,671.0,163.0
195.0,437.0,943.0,942.0,671.0,163.0,942.0
437.0,943.0,942.0,671.0,163.0,942.0,49.0
943.0,942.0,671.0,163.0,942.0,49.0,110.0
942.0,671.0,163.0,942.0,49.0,110.0,942.0
671.0,163.0,942.0,49.0,110.0,942.0,1414.0
163.0,942.0,49.0,110.0,942.0,1414.0,1148.0
942.0,49.0,110.0,942.0,1414.0,1148.0,196.0
49.0,110.0,942.0,1414.0,1148.0,196.0,942.0
110.0,942.0,1414.0,1148.0,196.0,942.0,942.0
942.0,1414.0,1148.0,196.0,942.0,942.0,15.0
1414.0,1148.0,196.0,942.0,942.0,15.0,122.0
1148.0,196.0,942.0,942.0,15.0,122.0,294.0
196.0,942.0,942.0,15.0,122.0,294.0,46.0
942.0,942.0,15.0,122.0,294.0,46.0,373.0
942.0,15.0,122.0,294.0,46.0,373.0,942.0
15.0,122.0,294.0,46.0,373.0,942.0,122.0
122.0,294.0,46.0,373.0,942.0,122.0,294.0
294.0,46.0,373.0,942.0,122.0,294.0,80.0
46.0,373.0,942.0,122.0,294.0,80.0,664.0
373.0,942.0,122.0,294.0,80.0,664.0,942.0
942.0,122.0,294.0,80.0,664.0,942.0,1421.0
122.0,294.0,80.0,664.0,942.0,1421.0,731.0
294.0,80.0,664.0,942.0,1421.0,731.0,557.0
80.0,664.0,942.0,1421.0,731.0,557.0,942.0
664.0,942.0,1421.0,731.0,557.0,942.0,439.0
942.0,1421.0,731.0,557.0,942.0,439.0,942.0
1421.0,731.0,557.0,942.0,439.0,942.0,942.0
731.0,557.0,942.0,439.0,942.0,942.0,15.0
557.0,942.0,439.0,942.0,942.0,15.0,772.0
942.0,439.0,942.0,942.0,15.0,772.0,950.0
439.0,942.0,942.0,15.0,772.0,950.0,942.0
942.0,942.0,15.0,772.0,950.0,942.0,184.0
942.0,15.0,772.0,950.0,942.0,184.0,319.0
15.0,772.0,950.0,942.0,184.0,319.0,294.0
772.0,950.0,942.0,184.0,319.0,294.0,46.0
950.0,942.0,184.0,319.0,294.0,46.0,373.0
942.0,184.0,319.0,294.0,46.0,373.0,942.0
184.0,319.0,294.0,46.0,373.0,942.0,278.0
319.0,294.0,46.0,373.0,942.0,278.0,731.0
294.0,46.0,373.0,942.0,278.0,731.0,557.0
46.0,373.0,942.0,278.0,731.0,557.0,17.0
373.0,942.0,278.0,731.0,557.0,17.0,942.0
942.0,278.0,731.0,557.0,17.0,942.0,557.0
278.0,731.0,557.0,17.0,942.0,557.0,256.0
731.0,557.0,17.0,942.0,557.0,256.0,1392.0
557.0,17.0,942.0,557.0,256.0,1392.0,942.0
17.0,942.0,557.0,256.0,1392.0,942.0,952.0
942.0,557.0,256.0,1392.0,942.0,952.0,940.0
557.0,256.0,1392.0,942.0,952.0,940.0,942.0
256.0,1392.0,942.0,952.0,940.0,942.0,15.0
1392.0,942.0,952.0,940.0,942.0,15.0,1180.0
942.0,952.0,940.0,942.0,15.0,1180.0,780.0
952.0,940.0,942.0,15.0,1180.0,780.0,1140.0
940.0,942.0,15.0,1180.0,780.0,1140.0,393.0
942.0,15.0,1180.0,780.0,1140.0,393.0,942.0
15.0,1180.0,780.0,1140.0,393.0,942.0,731.0
1180.0,780.0,1140.0,393.0,942.0,731.0,1267.0
780.0,1140.0,393.0,942.0,731.0,1267.0,8.0
1140.0,393.0,942.0,731.0,1267.0,8.0,447.0
