0,1,2,3,4,5,6
58.0,4.0,190.0,190.0,72.0,151.0,188.0
4.0,190.0,190.0,72.0,151.0,188.0,249.0
190.0,190.0,72.0,151.0,188.0,249.0,289.0
190.0,72.0,151.0,188.0,249.0,289.0,187.0
72.0,151.0,188.0,249.0,289.0,187.0,290.0
151.0,188.0,249.0,289.0,187.0,290.0,151.0
188.0,249.0,289.0,187.0,290.0,151.0,72.0
249.0,289.0,187.0,290.0,151.0,72.0,190.0
289.0,187.0,290.0,151.0,72.0,190.0,190.0
187.0,290.0,151.0,72.0,190.0,190.0,136.0
290.0,151.0,72.0,190.0,190.0,136.0,276.0
151.0,72.0,190.0,190.0,136.0,276.0,175.0
72.0,190.0,190.0,136.0,276.0,175.0,196.0
190.0,190.0,136.0,276.0,175.0,196.0,127.0
190.0,136.0,276.0,175.0,196.0,127.0,186.0
136.0,276.0,175.0,196.0,127.0,186.0,276.0
276.0,175.0,196.0,127.0,186.0,276.0,171.0
175.0,196.0,127.0,186.0,276.0,171.0,196.0
196.0,127.0,186.0,276.0,171.0,196.0,127.0
127.0,186.0,276.0,171.0,196.0,127.0,190.0
186.0,276.0,171.0,196.0,127.0,190.0,190.0
276.0,171.0,196.0,127.0,190.0,190.0,201.0
171.0,196.0,127.0,190.0,190.0,201.0,1.0
196.0,127.0,190.0,190.0,201.0,1.0,77.0
127.0,190.0,190.0,201.0,1.0,77.0,302.0
190.0,190.0,201.0,1.0,77.0,302.0,31.0
190.0,201.0,1.0,77.0,302.0,31.0,296.0
201.0,1.0,77.0,302.0,31.0,296.0,238.0
1.0,77.0,302.0,31.0,296.0,238.0,104.0
77.0,302.0,31.0,296.0,238.0,104.0,190.0
302.0,31.0,296.0,238.0,104.0,190.0,190.0
31.0,296.0,238.0,104.0,190.0,190.0,87.0
296.0,238.0,104.0,190.0,190.0,87.0,67.0
238.0,104.0,190.0,190.0,87.0,67.0,154.0
104.0,190.0,190.0,87.0,67.0,154.0,112.0
190.0,190.0,87.0,67.0,154.0,112.0,137.0
190.0,87.0,67.0,154.0,112.0,137.0,4.0
87.0,67.0,154.0,112.0,137.0,4.0,290.0
67.0,154.0,112.0,137.0,4.0,290.0,2.0
154.0,112.0,137.0,4.0,290.0,2.0,219.0
112.0,137.0,4.0,290.0,2.0,219.0,280.0
137.0,4.0,290.0,2.0,219.0,280.0,190.0
4.0,290.0,2.0,219.0,280.0,190.0,190.0
290.0,2.0,219.0,280.0,190.0,190.0,67.0
2.0,219.0,280.0,190.0,190.0,67.0,235.0
219.0,280.0,190.0,190.0,67.0,235.0,302.0
280.0,190.0,190.0,67.0,235.0,302.0,41.0
190.0,190.0,67.0,235.0,302.0,41.0,166.0
190.0,67.0,235.0,302.0,41.0,166.0,74.0
67.0,235.0,302.0,41.0,166.0,74.0,235.0
235.0,302.0,41.0,166.0,74.0,235.0,290.0
302.0,41.0,166.0,74.0,235.0,290.0,0.0
41.0,166.0,74.0,235.0,290.0,0.0,196.0
166.0,74.0,235.0,290.0,0.0,196.0,127.0
74.0,235.0,290.0,0.0,196.0,127.0,302.0
235.0,290.0,0.0,196.0,127.0,302.0,30.0
290.0,0.0,196.0,127.0,302.0,30.0,142.0
0.0,196.0,127.0,302.0,30.0,142.0,296.0
196.0,127.0,302.0,30.0,142.0,296.0,235.0
127.0,302.0,30.0,142.0,296.0,235.0,190.0
302.0,30.0,142.0,296.0,235.0,190.0,190.0
30.0,142.0,296.0,235.0,190.0,190.0,23.0
142.0,296.0,235.0,190.0,190.0,23.0,7.0
296.0,235.0,190.0,190.0,23.0,7.0,248.0
235.0,190.0,190.0,23.0,7.0,248.0,65.0
190.0,190.0,23.0,7.0,248.0,65.0,302.0
190.0,23.0,7.0,248.0,65.0,302.0,55.0
23.0,7.0,248.0,65.0,302.0,55.0,244.0
7.0,248.0,65.0,302.0,55.0,244.0,90.0
248.0,65.0,302.0,55.0,244.0,90.0,4.0
65.0,302.0,55.0,244.0,90.0,4.0,290.0
302.0,55.0,244.0,90.0,4.0,290.0,219.0
55.0,244.0,90.0,4.0,290.0,219.0,272.0
244.0,90.0,4.0,290.0,219.0,272.0,89.0
90.0,4.0,290.0,219.0,272.0,89.0,2.0
4.0,290.0,219.0,272.0,89.0,2.0,98.0
290.0,219.0,272.0,89.0,2.0,98.0,190.0
